,repo_name,method_invocations,filter
0,github-for-unity/Unity,1,best_matchFalse
1,Unity-Technologies/UnityCsReference,0,best_matchFalse
2,XINCGer/Unity3DTraining,62,best_matchFalse
3,nickgravelyn/UnityToolbag,0,best_matchFalse
4,microsoft/MixedRealityToolkit-Unity,4,best_matchFalse
5,ricardojmendez/UnitySteer,0,best_matchFalse
6,neuecc/UniRx,3,best_matchFalse
7,KhronosGroup/UnityGLTF,15,best_matchFalse
8,googlevr/gvr-unity-sdk,27,best_matchFalse
9,i-saint/Unity5Effects,32,best_matchFalse
10,soomla/unity3d-store,10,best_matchFalse
11,UnityCommunity/UnityLibrary,33,best_matchFalse
12,fholm/unityassets,0,best_matchFalse
13,NetEase/UnitySocketIO,0,best_matchFalse
14,unitystation/unitystation,22,best_matchFalse
15,spr1ngd/UnityCodes,2,best_matchFalse
16,OpenMined/UnityWorker,0,best_matchFalse
17,andyburke/UnityHTTP,0,best_matchFalse
18,Nition/UnityOctree,0,best_matchFalse
19,Unity-Technologies/UnityPlayground,15,best_matchFalse
20,GaoKaiHaHa/UnityLockStepDemo,26,best_matchFalse
21,Perfare/Il2CppDumper,0,best_matchFalse
22,playgameservices/play-games-plugin-for-unity,29,best_matchFalse
23,googleads/googleads-mobile-unity,0,best_matchFalse
24,kbengine/kbengine_unity3d_demo,12,best_matchFalse
25,google-ar/arcore-unity-sdk,44,best_matchFalse
26,jorgegarcia/UnityOSC,0,best_matchFalse
27,SaladLab/Json.Net.Unity3D,0,best_matchFalse
28,EllanJiang/UnityGameFramework,53,best_matchFalse
29,QianMo/Unity-Design-Pattern,39,best_matchFalse
30,unity3d-jp/unitychan-crs,28,best_matchFalse
31,Rutgers-CG/Unity,0,best_matchFalse
32,SlightlyMad/VolumetricLights,0,best_matchFalse
33,thefuntastic/Unity3d-Finite-State-Machine,0,best_matchFalse
34,fairygui/FairyGUI-unity,35,best_matchFalse
35,zouchunyi/UnityAvater,0,best_matchFalse
36,KellanHiggins/UnityFBXExporter,0,best_matchFalse
37,gkngkc/UnityStandaloneFileBrowser,0,best_matchFalse
38,BLINDED-AM-ME/UnityAssets,3,best_matchFalse
39,dbrizov/NaughtyAttributes,0,best_matchFalse
40,topameng/tolua,6,best_matchFalse
41,leapmotion/UnityModules,38,best_matchFalse
42,u3dkbe/kbengine_unity3d_warring,75,best_matchFalse
43,FreyaHolmer/ShaderForge,0,best_matchFalse
44,billwillman/UnityResourceMgr,36,best_matchFalse
45,jacksondunstan/UnityNativeScripting,0,best_matchFalse
46,tsubaki/UnityAssetCleaner,0,best_matchFalse
47,Banbury/UnitySpritesAndBones,0,best_matchFalse
48,jderrough/UnitySlippyMap,7,best_matchFalse
49,Dandarawy/UnityBookPageCurl,5,best_matchFalse
50,GaoKaiHaHa/MyUnityFrameWork,0,best_matchFalse
51,kbengine/kbengine_unity3d_plugins,0,best_matchFalse
52,firebase/quickstart-unity,10,best_matchFalse
53,TheMasonX/UnityPCSS,24,best_matchFalse
54,GameBuildingBlocks/UnityComponent,0,best_matchFalse
55,totuworld/unity,4,best_matchFalse
56,sebas77/-Obsolete-Lightweight-IoC-Container-for-Unity3D,0,best_matchFalse
57,IronWarrior/SuperCharacterController,9,best_matchFalse
58,chromealex/Unity3d.UI.Windows,30,best_matchFalse
59,PhannGor/unity3d-rainbow-folders,0,best_matchFalse
60,rlabrecque/Steamworks.NET,0,best_matchFalse
61,Whinarn/UnityMeshSimplifier,0,best_matchFalse
62,proepkes/UnityLockstep,29,best_matchFalse
63,Unity-Technologies/FPSSample,17,best_matchFalse
64,mapbox/mapbox-unity-sdk,119,best_matchFalse
65,watson-developer-cloud/unity-sdk,0,best_matchFalse
66,SebLague/Procedural-Landmass-Generation,81,best_matchFalse
67,akbiggs/UnityTimer,0,best_matchFalse
68,Unity-Technologies/ShaderGraph,0,best_matchFalse
69,dilmerv/UnityARFoundationEssentials,44,best_matchFalse
70,udacity/self-driving-car-sim,46,best_matchFalse
71,Interkarma/daggerfall-unity,44,best_matchFalse
72,luzexi/Unity3DAIBehaviorTree,0,best_matchFalse
73,yasirkula/UnityAssetUsageDetector,0,best_matchFalse
74,PimDeWitte/UnityMainThreadDispatcher,0,best_matchFalse
75,CMU-Perceptual-Computing-Lab/openpose_unity_plugin,0,best_matchFalse
76,ElPsyCongree/LuaProfiler-For-Unity,5,best_matchFalse
77,handcircus/Unity-Resource-Checker,0,best_matchFalse
78,googlearchive/tango-examples-unity,268,best_matchFalse
79,MrNerverDie/Unity-UI-Framework,0,best_matchFalse
80,Unity-Technologies/UnityRenderStreaming,0,best_matchFalse
81,RonenNess/UnityUtils,24,best_matchFalse
82,yasirkula/UnityIngameDebugConsole,3,best_matchFalse
83,keijiro/KinoGlitch,0,best_matchFalse
84,Rinirihiriro/UnityValley,8,best_matchFalse
85,keijiro/Skinner,0,best_matchFalse
86,JetBrains/resharper-unity,1,best_matchFalse
87,MikeJinhua/UnitySocketProtobuf3Demo,0,best_matchFalse
88,EsProgram/InkPainter,14,best_matchFalse
89,meng-hui/UnityEngineAnalyzer,0,best_matchFalse
90,keijiro/Klak,8,best_matchFalse
91,superzhan/UnityBubbleGame,0,best_matchFalse
92,HearthSim/UnityHook,0,best_matchFalse
93,antonpantev/unity-movement-ai,18,best_matchFalse
94,dotBunny/VSCode,0,best_matchFalse
95,cmilr/Unity2D-Components,5,best_matchFalse
96,Unity-Technologies/Unity.Mathematics,0,best_matchFalse
97,yasirkula/UnityBezierSolution,0,best_matchFalse
98,MrJoy/UnitySVG,0,best_matchFalse
99,ValveSoftware/steamvr_unity_plugin,16,best_matchFalse
100,MrJoy/UnitySVG,0,best_matchTrue
101,ricardojmendez/UnitySteerExamples,0,best_matchFalse
102,staffantan/unityglitch,0,best_matchFalse
103,Syomus/ProceduralToolkit,3,best_matchFalse
104,NVentimiglia/Unity3d-Foundation,10,best_matchFalse
105,MicroGSD/RoadArchitect,0,best_matchFalse
106,yasirkula/UnityRuntimeInspector,15,best_matchFalse
107,keijiro/KinoBloom,1,best_matchFalse
108,Unity-Technologies/multiplayer,9,best_matchFalse
109,colyseus/colyseus-unity3d,0,best_matchFalse
110,IndieVisualLab/UnityGraphicsProgramming,42,best_matchFalse
111,robertohuertasm/SQLite4Unity3d,0,best_matchFalse
112,cakeslice/Outline-Effect,2,best_matchFalse
113,luzexi/Unity3DGameResource,0,best_matchFalse
114,kefniark/UnityBarcodeScanner,0,best_matchFalse
115,mikelovesrobots/unity3d-console,1,best_matchFalse
116,DaVikingCode/UnityRuntimeSpriteSheetsGenerator,0,best_matchFalse
117,kbengine/unity3d_nav_critterai,0,best_matchFalse
118,akof1314/UnityParticleSystemPreview,0,best_matchFalse
119,luis-l/UnityNodeEditorBase,0,best_matchFalse
120,luis-l/UnityNodeEditorBase,0,best_matchTrue
121,AsehesL/UnityWaveEquation,12,best_matchFalse
122,googlesamples/unity-jar-resolver,0,best_matchFalse
123,Banbury/UnityPsdImporter,0,best_matchFalse
124,Mervill/Unity3D-NLua,5,best_matchFalse
125,sttsai/PBaseDefense_Unity3D,2,best_matchFalse
126,slipster216/VertexPaint,0,best_matchFalse
127,Gluschenko/UnityDarkSkin,0,best_matchFalse
128,sabresaurus/SabreCSG,0,best_matchFalse
129,Naphier/unity-design-patterns,11,best_matchFalse
130,kimsama/Unity-QuickSheet,0,best_matchFalse
131,mattatz/unity-voxel,2,best_matchFalse
132,prime31/GoKit,0,best_matchFalse
133,pubnub/unity,0,best_matchFalse
