,repo_name,method_invocations
0,icsharpcode/ILSpy,0
1,microsoft/MixedRealityToolkit-Unity,4
2,Unity-Technologies/UnityCsReference,0
3,Unity-Technologies/FPSSample,17
4,udacity/self-driving-car-sim,46
5,googlevr/gvr-unity-sdk,27
6,ExtendRealityLtd/VRTK,0
7,sschmid/Entitas-CSharp,0
8,googleads/googleads-mobile-unity,0
9,playgameservices/play-games-plugin-for-unity,29
10,topameng/tolua,6
11,Unity-Technologies/PostProcessing,0
12,EllanJiang/GameFramework,0
13,neuecc/UniRx,3
14,Tencent/behaviac,0
15,Brackeys/2D-Character-Controller,0
16,XINCGer/Unity3DTraining,62
17,QianMo/Unity-Design-Pattern,39
18,unitystation/unitystation,22
19,fo-dicom/fo-dicom,0
20,sebas77/-Obsolete-Lightweight-IoC-Container-for-Unity3D,0
21,fholm/unityassets,0
22,liangxiegame/QFramework,0
23,fairygui/FairyGUI-unity,35
24,neuecc/MessagePack-CSharp,0
25,u3dkbe/kbengine_unity3d_warring,75
26,FreyaHolmer/ShaderForge,0
27,google-ar/arcore-unity-sdk,44
28,Perfare/Il2CppDumper,0
29,GaoKaiHaHa/MyUnityFrameWork,0
30,Seneral/Node_Editor_Framework,0
31,TouchScript/TouchScript,27
32,unity3d-jp/unitychan-crs,28
33,xebecnan/UniLua,0
34,github-for-unity/Unity,1
35,marian42/wavefunctioncollapse,12
36,soomla/unity3d-store,10
37,SebLague/Procedural-Landmass-Generation,81
38,Unity-Technologies/arfoundation-samples,12
39,mob-sakai/UIEffect,0
40,pfiguero/3DGameCoursera,33
41,keijiro/Skinner,0
42,kbengine/kbengine_unity3d_demo,12
43,parse-community/Parse-SDK-dotNET,0
44,mr-kelly/KSFramework,0
45,firebase/quickstart-unity,10
46,nickgravelyn/UnityToolbag,0
47,googlearchive/tango-examples-unity,268
48,lgsvl/simulator,88
49,BeardedManStudios/ForgeNetworkingRemastered,23
50,MrNerverDie/Unity-UI-Framework,0
51,ricardojmendez/UnitySteer,0
52,SlightlyMad/VolumetricLights,0
53,handcircus/Unity-Resource-Checker,0
54,onevcat/XUPorter,0
55,Demigiant/dotween,42
56,KhronosGroup/UnityGLTF,15
57,Cysharp/MagicOnion,0
58,TomorrowTodayLabs/NewtonVR,0
59,NetEase/UnitySocketIO,0
60,Brackeys/MultiplayerFPS-Tutorial,42
61,ElPsyCongree/LuaProfiler-For-Unity,5
62,UnityTech/UIWidgets,21
63,Siccity/xNode,0
64,SebLague/2DPlatformer-Tutorial,43
65,i-saint/Unity5Effects,32
66,rlabrecque/Steamworks.NET,0
67,neuecc/ZeroFormatter,0
68,yimengfan/BDFramework.Core,0
69,vis2k/Mirror,18
70,xasset/xasset,0
71,crest-ocean/crest,25
72,OpenMined/UnityWorker,0
73,robertohuertasm/SQLite4Unity3d,0
74,zalo/MathUtilities,18
75,watson-developer-cloud/unity-sdk,0
76,pardeike/Harmony,0
77,dbrizov/NaughtyAttributes,0
78,EllanJiang/StarForce,2
79,ValveSoftware/steamvr_unity_plugin,16
80,Brackeys/NavMesh-Tutorial,0
81,coding2233/TextInlineSprite,0
82,IronWarrior/SuperCharacterController,9
83,dotBunny/VSCode,0
