,repo_name,method_invocations
0,icsharpcode/ILSpy,0
1,Unity-Technologies/UnityCsReference,0
2,sschmid/Entitas-CSharp,0
3,neuecc/UniRx,3
4,Unity-Technologies/FPSSample,17
5,microsoft/MixedRealityToolkit-Unity,4
6,Unity-Technologies/PostProcessing,0
7,ExtendRealityLtd/VRTK,0
8,udacity/self-driving-car-sim,46
9,TheBerkin/rant,0
10,googlevr/gvr-unity-sdk,27
11,playgameservices/play-games-plugin-for-unity,29
12,neuecc/MessagePack-CSharp,0
13,marian42/wavefunctioncollapse,12
14,topameng/tolua,6
15,zalo/MathUtilities,18
16,keijiro/Skinner,0
17,neuecc/ZeroFormatter,0
18,mob-sakai/UIEffect,0
19,EllanJiang/GameFramework,0
20,Tencent/behaviac,0
21,keenanwoodall/Deform,0
22,neuecc/Utf8Json,0
23,github-for-unity/Unity,1
24,pardeike/Harmony,0
25,Cysharp/MagicOnion,0
26,playdeadgames/temporal,0
27,dbrizov/NaughtyAttributes,0
28,UnityTech/UIWidgets,21
29,liangxiegame/QFramework,0
30,fairygui/FairyGUI-unity,35
31,crest-ocean/crest,25
32,QianMo/Unity-Design-Pattern,39
33,Perfare/Il2CppDumper,0
34,rlabrecque/Steamworks.NET,0
35,i-saint/Unity5Effects,32
36,Seneral/Node_Editor_Framework,0
37,SlightlyMad/VolumetricLights,0
38,FreyaHolmer/ShaderForge,0
39,nickgravelyn/UnityToolbag,0
40,TouchScript/TouchScript,27
41,Facepunch/Facepunch.Steamworks,0
42,keijiro/KinoGlitch,0
43,Demigiant/dotween,42
44,keijiro/Klak,8
45,google-ar/arcore-unity-sdk,44
46,vis2k/Mirror,18
47,Syomus/ProceduralToolkit,3
48,stella3d/job-system-cookbook,0
49,Tayx94/graphy,18
50,BeardedManStudios/ForgeNetworkingRemastered,23
51,Siccity/xNode,0
52,sonicether/SEGI,31
53,xebecnan/UniLua,0
54,robertcupisz/LightShafts,0
55,antonpantev/unity-movement-ai,18
56,fholm/unityassets,0
57,XINCGer/Unity3DTraining,62
58,Unity-Technologies/ShaderGraph,0
59,Elringus/SpriteGlow,0
60,mafaca/UtinyRipper,0
61,ricardojmendez/UnitySteer,0
62,Unity-Technologies/Unity.Mathematics,0
63,keijiro/KvantSpray,0
64,YarnSpinnerTool/YarnSpinner,2
65,Unity-Technologies/arfoundation-samples,12
66,unity3d-jp/unitychan-crs,28
67,UnityCommunity/UnityLibrary,33
68,Unity-Technologies/multiplayer,9
69,yimengfan/BDFramework.Core,0
70,GaoKaiHaHa/MyUnityFrameWork,0
71,lgsvl/simulator,88
72,keijiro/Voxelman,0
73,thefuntastic/Unity3d-Finite-State-Machine,0
74,JetBrains/resharper-unity,1
75,keijiro/Pix2Pix,3
76,keijiro/Reaktion,2
77,mob-sakai/ParticleEffectForUGUI,0
78,Unity-Technologies/InputSystem,0
79,wudixiaop/ShaderlabVS,0
80,ElPsyCongree/LuaProfiler-For-Unity,5
81,NetEase/UnitySocketIO,0
82,mr-kelly/KSFramework,0
83,setchi/FancyScrollView,0
84,robertohuertasm/SQLite4Unity3d,0
85,eliasts/Ocean_Community_Next_Gen,7
86,MattRix/Futile,14
87,Interkarma/daggerfall-unity,44
88,sabresaurus/SabreCSG,0
89,Real-Serious-Games/C-Sharp-Promise,0
90,TomorrowTodayLabs/NewtonVR,0
91,xasset/xasset,0
92,TeamSirenix/odin-serializer,0
93,prime31/TouchKit,44
94,Unity-Technologies/EditorXR,0
95,jacobdufault/fullserializer,0
96,keijiro/ShaderGraphExamples,0
97,googleads/googleads-mobile-unity,0
98,Unity-Technologies/AutoLOD,0
99,SaladLab/Json.Net.Unity3D,0
100,cakeslice/Outline-Effect,2
101,dotBunny/VSCode,0
102,SebLague/Path-Creator,0
103,slipster216/VertexPaint,0
104,KhronosGroup/UnityGLTF,15
105,Tencent/InjectFix,0
106,pbhogan/InControl,0
107,Naphier/unity-design-patterns,11
108,Unity-Technologies/AssetGraph,0
109,EsProgram/InkPainter,14
110,keijiro/Kino,0
111,gkngkc/UnityStandaloneFileBrowser,0
112,handcircus/Unity-Resource-Checker,0
113,mattatz/unity-voxel,2
114,jacksondunstan/UnityNativeScripting,0
115,Chman/Moments,1
116,modesttree/Projeny,0
117,InvexGames/MaterialUI,7
118,kimsama/Unity-QuickSheet,0
119,Kink3d/kShading,0
120,spr1ngd/UnityCodes,2
121,keijiro/FFmpegOut,0
122,snozbot/fungus,35
123,Cysharp/UniTask,0
124,andydbc/HologramShader,2
125,keijiro/Lasp,0
126,ValveSoftware/steamvr_unity_plugin,16
127,AdultLink/RadialProgressBar,15
128,keijiro/KinoBloom,1
129,keijiro/Pcx,0
130,IronWarrior/SuperCharacterController,9
131,cjddmut/Unity-2D-Platformer-Controller,13
132,relativty/wrmhl,0
133,ArthurBrussee/Vapor,0
134,keijiro/PuppetTest,0
135,andyburke/UnityHTTP,0
136,fo-dicom/fo-dicom,0
137,xraxra/IMP,0
138,Cysharp/MasterMemory,0
139,videolan/libvlcsharp,0
140,MrNerverDie/Unity-UI-Framework,0
141,Unity-Technologies/UnityPlayground,15
142,GlitchEnzo/NuGetForUnity,0
143,vrm-c/UniVRM,5
144,prime31/GoKit,0
145,Unity-Technologies/2d-techdemos,5
146,Nition/UnityOctree,0
147,oddgames/UIToolkit,17
148,GTA-ASM/SanAndreasUnity,54
149,soomla/unity3d-store,10
150,zios/unity-themes,0
151,Unity-Technologies/GenericFrameRecorder,0
152,SebLague/Procedural-Landmass-Generation,81
153,watson-developer-cloud/unity-sdk,0
154,onevcat/XUPorter,0
155,keijiro/Swarm,0
156,OCASM/SSMS,0
157,googlearchive/tango-examples-unity,268
158,neuecc/LINQ-to-GameObject-for-Unity,0
159,TheMasonX/UnityPCSS,24
160,PhannGor/unity3d-rainbow-folders,0
161,unitystation/unitystation,22
162,Seanba/Tiled2Unity,0
163,mapbox/mapbox-unity-sdk,119
164,GaoKaiHaHa/UnityLockStepDemo,26
165,teenageengineering/videolab,16
166,keijiro/MidiJack,0
167,AdultLink/TexturePanner,12
168,keijiro/Firefly,0
169,yasirkula/UnityAssetUsageDetector,0
170,sebas77/Svelto.ECS,0
171,proyecto26/RestClient,0
172,keijiro/Rsvfx,3
173,MicroGSD/RoadArchitect,0
174,luxkun/ReGoap,0
175,keijiro/KinoFog,0
176,andydbc/unity-shadergraph-sandbox,0
177,Elringus/SpriteDicing,0
178,staffantan/unityglitch,0
179,monitor1394/unity-ugui-XCharts,13
180,dbrizov/NaughtyWaterBuoyancy,0
181,googlesamples/unity-jar-resolver,0
182,keijiro/KinoMotion,0
183,daemon3000/InputManager,71
184,Unity-Technologies/DOTS-training-samples,114
185,jorgegarcia/UnityOSC,0
186,SebLague/2DPlatformer-Tutorial,43
187,MaxwellGengYF/Unity-MPipeline,13
188,snowballdigital/flutter-unity-view-widget,3
189,Demigiant/demilib,23
190,keijiro/KvantGrass,0
191,keijiro/KvantWig,0
192,keijiro/MiniEngineAO,0
193,Unity-Technologies/SuperScience,0
194,Deadcows/MyBox,56
195,yasirkula/UnityIngameDebugConsole,3
196,coding2233/TextInlineSprite,0
197,alvyxaz/barebones-masterserver,23
198,BepInEx/BepInEx,7
199,firebase/quickstart-unity,10
200,chromealex/Unity3d.UI.Windows,30
201,Chaser324/unity-build,0
202,benoit-dumas/SplineMesh,0
203,sploreg/goap,0
204,andydbc/unity-frosted-glass,2
205,Chman/SMAA,0
206,dentedpixel/LeanTween,26
207,radiatoryang/hedera,0
208,Brackeys/MultiplayerFPS-Tutorial,42
209,talecrafter/AnimationImporter,0
210,JustInvoke/Randomation-Vehicle-Physics,23
211,RyanNielson/PixelCamera2D,0
212,bbbscarter/UberLogger,0
213,yasirkula/UnityRuntimeInspector,15
214,marijnz/unity-shell,0
215,SlightlyMad/AtmosphericScattering,10
216,MarkioE/Networker,0
217,mob-sakai/SoftMaskForUGUI,0
218,EllanJiang/UnityGameFramework,53
219,ricardojmendez/LibNoise.Unity,0
220,DragonBones/DragonBonesCSharp,26
221,OpenHogwarts/hogwarts,92
222,yasirkula/UnityBezierSolution,0
223,Unity-Technologies/DOTSSample,36
224,AdultLink/VerticalDissolve,14
225,KellanHiggins/UnityFBXExporter,0
226,meniku/NPBehave,1
227,SubjectNerd-Unity/ReorderableInspector,0
228,hecomi/uREPL,12
229,Whinarn/UnityMeshSimplifier,0
230,Phong13/BulletSharpUnity3d,65
231,MephestoKhaan/UnityEventVisualizer,0
232,Dandarawy/UnityBookPageCurl,5
233,liuhaopen/UGUI-Editor,0
234,mjholtzem/Unity-2D-Destruction,1
235,Brackeys/2D-Character-Controller,0
236,mminer/consolation,2
237,keijiro/Flipbook,0
238,googleanalytics/google-analytics-plugin-for-unity,0
239,marijnz/unity-toolbar-extender,0
240,PixeyeHQ/InspectorFoldoutGroup,0
241,Unity-Technologies/facial-ar-remote,0
242,aliessmael/Unity-Logs-Viewer,22
243,SaladLab/Unity3D.IncrementalCompiler,0
244,CiaccoDavide/Unity-UI-Polygon,0
245,cfoulston/Unity-Reorderable-List,1
246,keijiro/StableFluids,5
247,mr-kelly/KEngine,0
248,Fewes/BNAO,0
249,Banbury/UnitySpritesAndBones,0
250,gilescoope/shader-graph-nodes,0
251,Elringus/GrassBending,36
252,jiulongw/swift-unity,0
253,keijiro/KinoContour,0
254,Gluschenko/UnityDarkSkin,0
255,Scrawk/Ceto,23
256,xraxra/SDFr,10
257,Brackeys/RPG-Tutorial,20
258,Leopotam/ecs,0
259,roboryantron/UnityEditorJunkie,0
260,fluviofx/fluviofx,0
261,CMU-Perceptual-Computing-Lab/openpose_unity_plugin,0
262,NicholasSheehan/Unity-Native-Sharing,0
263,newyellow/Unity-Runtime-Animation-Recorder,6
264,PimDeWitte/UnityMainThreadDispatcher,0
265,tawnkramer/sdsandbox,21
266,billwillman/UnityResourceMgr,36
267,keijiro/RippleEffect,0
268,akbiggs/UnityTimer,0
269,PhilSA/ECSPhysics,0
270,BayatGames/RedRunner,35
271,keijiro/KinoBokeh,0
272,M-Fatah/texture_maker,0
273,keijiro/unity-dither4444,0
274,Unity-Technologies/vscode-unity-debug,0
275,Unity-Technologies/UnityRenderStreaming,0
276,unity3d-jp/NVIDIAHairWorksIntegration,9
277,Leopotam/LeopotamGroupLibraryUnity,12
278,modesttree/Unity3dAsyncAwaitUtil,3
279,keijiro/KvantStream,0
280,BLINDED-AM-ME/UnityAssets,3
281,stormtek/unity-rts-demo,24
282,f15gdsy/2D-Light-of-Sight-Unity,15
283,jknightdoeswork/gpu-physics-unity,0
284,Cytoid/Cytoid,5
285,keijiro/KvantSwarm,0
286,keijiro/Smrvfx,0
287,cmilr/Unity2D-Components,5
288,valryon/water2d-unity,0
289,Unity-Technologies/graph-visualizer,0
290,keijiro/Retro3DPipeline,0
291,keijiro/SonarFx,1
292,bitcraftCoLtd/protobuf3-for-unity,0
293,mattatz/unity-triangulation2D,3
294,madsbangh/EasyButtons,0
295,zeh/usfxr,17
296,kode80/kode80CloudsUnity3D,10
297,OskarSigvardsson/unity-delaunay,30
298,EdoFrank/RainDropEffect,0
299,EnoxSoftware/OpenCVForUnity,33
300,Reinisch/Darkest-Dungeon-Unity,76
301,Armour/Multiplayer-FPS,45
302,umasteeringgroup/UMA,42
303,keijiro/SkyboxPlus,0
304,chenjd/Realistic-Real-Time-Grass-Rendering-With-Unity,0
305,igiagkiozis/CrystalAI,0
306,EcsRx/ecsrx.unity,18
307,OpenMined/UnityWorker,0
308,Looking-Glass/JoyconLib,0
309,laurenth-personal/lightmap-switching-tool,1
310,dbrizov/NaughtyCharacter,6
311,keijiro/KinoObscurance,0
312,crookookoo/handUI,40
313,mmd-for-unity-proj/mmd-for-unity,0
314,5argon/NotchSolution,0
315,allanpichardo/Unity-Beat-Detection,0
316,mob-sakai/UpmGitExtension,0
317,Unity-Technologies/FontainebleauDemo,24
318,CatLib/Framework,0
319,dilmerv/UnityARFoundationEssentials,44
320,alelievr/NodeGraphProcessor,0
321,maxilevi/project-skylines,14
322,sh-akira/VirtualMotionCapture,23
323,UnityTechnologies/ATerribleKingdom,16
324,mattak/Unidux,0
325,zulfajuniadi/unity-ecs-navmesh,9
326,EllanJiang/StarForce,2
327,rocksdanister/lively,0
328,Meragon/Unity-WinForms,0
329,EsProgram/uSpringBone,26
330,Cysharp/ZString,0
331,andydbc/unity-texture-packer,0
332,mattatz/unity-teddy,7
333,tinyantstudio/EnhancedScrollView,70
334,Unity-Technologies/UIElementsExamples,0
335,microsoft/MixedReality-WebRTC,0
336,IndieVisualLab/UnityGraphicsProgramming,42
337,NVentimiglia/Unity3d-Foundation,10
338,pixelnest/tutorial-2d-game-unity,4
339,mapbox/mapbox-ar-unity,97
