,repo_name,method_invocations
0,GoneViral/gone-viral-unity,7
1,world29/Proto2D,13
2,jatekpet76/LoliRock-Teliholdas-Ret,7
3,simplic/simplic-service,0
4,Icosacid/unitycellautomata,0
5,deltaDNA/unity-sdk,3
6,MKSobotkiewicz/Manage,57
7,amalbala/BasicAR,19
8,skarving/Terminal-Hacker,2
9,amuk1989/unity,6
10,keijiro/LaspVfx,0
11,AnnaPlatek/GlitchGarden,2
12,yzngo/UnityInAction-ThirdPerson,23
13,gdgdmh/unity_bomberman,20
14,Overnap/planet-platformer,28
15,iarks/unity-webgl-js-integration,0
16,effekseer/EffekseerForUnity,24
17,mw3tv123/tetris-clone,4
18,mogoson/MGS-Machinery,2
19,fernandotimm/unity-boilerplate,0
20,fernandotimm/unity-boilerplate,0
21,Hekiat/Sail,9
22,aliyucelgamli/unity-games,6
23,dlehdsuz0323/Mine_Search_Unity,8
24,Lin1One/BrandoFramework.UnityProject,32
25,unitystation/unitystation,22
26,Kichlids/UnityTowerDefense,7
27,Madnala98ljf/-Unity2d-RPG-,38
28,sepirein/StudyUnity,41
29,mmasudamakoto/StepAsideUnityChan,52
30,Deathgibo/Unity-Project,30
31,Smallant0514/Unity_ML_Football,15
32,YutaKosuki/example-unity-playfab,0
33,refu-wonder/UnityTraining,8
34,yzf-r25rider/StepAsideUnityChan,25
35,calimpio/unity-text-language,0
36,470838237/UnityDemo,1
37,brainwipe/clomp,27
38,jjuniorc/lemma,36
39,uezo/ChatdollKit,0
40,angsamuel/GingerVR,5
41,triusdeil/Script_Unity,9
42,git-hxl/EasyFramework,3
43,fmoo/Orange,17
44,AnthonyVenturella/UnityArduinoToyBox,7
45,ho-lo/HologlaSDK-Unity,0
46,haoping07/Timberman-Clone,6
47,ianpareja/3rd-Person-Shooter,4
48,banearth/ScrollSystem,0
49,Litmin/SoftRenderer-Unity,0
50,MuhammadAli04/Death-Race-Game,77
51,AlexGidge/Ruby2dAdventure,2
52,Thomasa8992/UnityCreateWithCode,16
53,StrayFog/StrayFogUnity3d,0
54,bilalakil/my-unity-library,0
55,yamadamakemi/UnityRaiseFlag,0
56,mark-tasaka/unity-C-dungeon-of-the-funky-orcs-roguelike-rpg,9
57,autocore-ai/MapToolbox,0
58,IgnacioSada/GalaxyShooter,11
59,Rick708/New-Unity-Project-to-naoya,0
60,stella3d/SharedArray,0
61,MrBrown6210/The-World-1,58
62,aaroye/maze_unity,15
63,drawcode/game-lib-games,130
64,geiko246/ur5_unity_pycontroller,0
65,NoiRC256/AssetBundleBuilder,0
66,alachhman/PerlinTest3d,7
67,NoiRC256/cgss_unityscripts,0
68,Calum532/Micro-Motors--main-,56
69,hetkpatel/HacksBall,28
70,S1mak1098/Unity-Project,18
71,Cobecc/ClickerCat,6
72,Team-on/UnityGameTemplate,11
