,repo_name,method_invocations
0,github-for-unity/Unity,1
1,Unity-Technologies/UnityCsReference,0
2,XINCGer/Unity3DTraining,62
3,nickgravelyn/UnityToolbag,0
4,microsoft/MixedRealityToolkit-Unity,4
5,ricardojmendez/UnitySteer,0
6,neuecc/UniRx,3
7,KhronosGroup/UnityGLTF,15
8,googlevr/gvr-unity-sdk,27
9,i-saint/Unity5Effects,32
10,soomla/unity3d-store,10
11,UnityCommunity/UnityLibrary,33
12,fholm/unityassets,0
13,NetEase/UnitySocketIO,0
14,unitystation/unitystation,22
15,spr1ngd/UnityCodes,2
16,OpenMined/UnityWorker,0
17,andyburke/UnityHTTP,0
18,Nition/UnityOctree,0
19,Unity-Technologies/UnityPlayground,15
20,GaoKaiHaHa/UnityLockStepDemo,26
21,playgameservices/play-games-plugin-for-unity,29
22,Perfare/Il2CppDumper,0
23,googleads/googleads-mobile-unity,0
24,kbengine/kbengine_unity3d_demo,12
25,google-ar/arcore-unity-sdk,44
26,jorgegarcia/UnityOSC,0
27,SaladLab/Json.Net.Unity3D,0
28,QianMo/Unity-Design-Pattern,39
29,unity3d-jp/unitychan-crs,28
30,EllanJiang/UnityGameFramework,53
31,Rutgers-CG/Unity,0
32,SlightlyMad/VolumetricLights,0
33,fairygui/FairyGUI-unity,35
34,thefuntastic/Unity3d-Finite-State-Machine,0
35,zouchunyi/UnityAvater,0
36,KellanHiggins/UnityFBXExporter,0
37,gkngkc/UnityStandaloneFileBrowser,0
38,BLINDED-AM-ME/UnityAssets,3
39,dbrizov/NaughtyAttributes,0
40,topameng/tolua,6
41,leapmotion/UnityModules,38
42,u3dkbe/kbengine_unity3d_warring,75
43,FreyaHolmer/ShaderForge,0
44,billwillman/UnityResourceMgr,36
45,jacksondunstan/UnityNativeScripting,0
46,tsubaki/UnityAssetCleaner,0
47,Banbury/UnitySpritesAndBones,0
48,jderrough/UnitySlippyMap,7
49,Dandarawy/UnityBookPageCurl,5
50,GaoKaiHaHa/MyUnityFrameWork,0
51,kbengine/kbengine_unity3d_plugins,0
52,firebase/quickstart-unity,10
53,TheMasonX/UnityPCSS,2
54,GameBuildingBlocks/UnityComponent,0
55,totuworld/unity,4
56,sebas77/-Obsolete-Lightweight-IoC-Container-for-Unity3D,0
57,IronWarrior/SuperCharacterController,9
58,chromealex/Unity3d.UI.Windows,30
59,PhannGor/unity3d-rainbow-folders,0
60,rlabrecque/Steamworks.NET,0
61,Whinarn/UnityMeshSimplifier,0
62,proepkes/UnityLockstep,29
63,Unity-Technologies/FPSSample,17
64,mapbox/mapbox-unity-sdk,119
65,watson-developer-cloud/unity-sdk,0
66,SebLague/Procedural-Landmass-Generation,81
67,akbiggs/UnityTimer,0
68,Unity-Technologies/ShaderGraph,0
69,dilmerv/UnityARFoundationEssentials,44
70,luzexi/Unity3DAIBehaviorTree,0
71,Interkarma/daggerfall-unity,44
72,udacity/self-driving-car-sim,46
73,yasirkula/UnityAssetUsageDetector,0
74,PimDeWitte/UnityMainThreadDispatcher,0
75,CMU-Perceptual-Computing-Lab/openpose_unity_plugin,0
76,ElPsyCongree/LuaProfiler-For-Unity,5
77,handcircus/Unity-Resource-Checker,0
78,googlearchive/tango-examples-unity,268
79,MrNerverDie/Unity-UI-Framework,0
80,Unity-Technologies/UnityRenderStreaming,0
81,RonenNess/UnityUtils,24
82,yasirkula/UnityIngameDebugConsole,3
83,keijiro/KinoGlitch,0
84,Rinirihiriro/UnityValley,8
85,keijiro/Skinner,0
86,JetBrains/resharper-unity,1
87,MikeJinhua/UnitySocketProtobuf3Demo,0
88,EsProgram/InkPainter,14
89,meng-hui/UnityEngineAnalyzer,0
90,keijiro/Klak,8
91,superzhan/UnityBubbleGame,0
92,dotBunny/VSCode,0
93,antonpantev/unity-movement-ai,18
94,HearthSim/UnityHook,0
95,cmilr/Unity2D-Components,5
96,Unity-Technologies/Unity.Mathematics,0
97,yasirkula/UnityBezierSolution,0
98,Brackeys/2D-Character-Controller,0
99,MrJoy/UnitySVG,0
100,ValveSoftware/steamvr_unity_plugin,16
101,ricardojmendez/UnitySteerExamples,0
102,staffantan/unityglitch,0
103,Syomus/ProceduralToolkit,3
104,NVentimiglia/Unity3d-Foundation,10
105,MicroGSD/RoadArchitect,0
106,yasirkula/UnityRuntimeInspector,15
107,keijiro/KinoBloom,1
108,Unity-Technologies/multiplayer,9
109,colyseus/colyseus-unity3d,0
110,robertohuertasm/SQLite4Unity3d,0
111,cakeslice/Outline-Effect,2
112,luzexi/Unity3DGameResource,0
113,kefniark/UnityBarcodeScanner,0
114,mikelovesrobots/unity3d-console,1
115,IndieVisualLab/UnityGraphicsProgramming,42
116,DaVikingCode/UnityRuntimeSpriteSheetsGenerator,0
117,Demigiant/dotween,42
118,kbengine/unity3d_nav_critterai,0
119,akof1314/UnityParticleSystemPreview,0
120,luis-l/UnityNodeEditorBase,0
121,googlesamples/unity-jar-resolver,0
122,Banbury/UnityPsdImporter,0
123,AsehesL/UnityWaveEquation,12
124,Mervill/Unity3D-NLua,5
125,sttsai/PBaseDefense_Unity3D,2
126,slipster216/VertexPaint,0
127,Gluschenko/UnityDarkSkin,0
128,sabresaurus/SabreCSG,0
129,Naphier/unity-design-patterns,11
130,kimsama/Unity-QuickSheet,0
131,mattatz/unity-voxel,2
132,prime31/GoKit,0
133,pubnub/unity,0
134,soomla/unity3d-profile,1
135,MaxwellGengYF/Unity-MPipeline,13
136,deadlyfingers/UnityWav,0
137,mvi/UnityXNA,0
138,modesttree/Unity3dAsyncAwaitUtil,3
139,Seanba/Tiled2Unity,0
140,monitor1394/unity-ugui-XCharts,13
141,jiulongw/swift-unity,0
142,stormtek/unity-rts-demo,24
143,PlayFab/UnitySDK,0
144,yasirkula/UnitySimpleFileBrowser,0
145,daemon3000/InputManager,71
146,HiddenMonk/Unity3DRuntimeTransformGizmo,28
147,woshihuo12/UnityHello,6
148,AngryAnt/UnityHacks,40
149,keenanwoodall/Deform,0
150,umasteeringgroup/UMA,42
151,EnoxSoftware/OpenCVForUnity,33
152,u3dkbe/kbengine_unity3d_balls,4
153,mpreble/UnityFBXImporter,0
154,lordjesus/UnityNEAT,2
155,liangxiegame/QFramework,0
156,parse-community/Parse-SDK-dotNET,0
157,SebLague/2DPlatformer-Tutorial,43
158,SaladLab/Unity3D.IncrementalCompiler,0
159,alvyxaz/barebones-masterserver,23
160,MephestoKhaan/UnityEventVisualizer,0
161,zios/unity-themes,0
162,Unity-Technologies/AssetGraph,0
163,exmex/UnityMoba,2
164,NicholasSheehan/Unity-Native-Sharing,0
165,cjddmut/Unity-2D-Platformer-Controller,13
166,keijiro/MidiJack,0
167,jamesjlinden/unity-decompiled,89
168,luzexi/Unity3DNavMesh,0
169,keijiro/KvantSpray,0
170,DanVioletSagmiller/UnitySOLID,6
171,SlightlyMad/AtmosphericScattering,10
172,coconauts/startcraft-unity3d,34
173,Unity-Technologies/PostProcessing,0
174,GenaSG/UnityUnetMovement,23
175,tsubaki/Unity_UI_Samples,0
176,Unity-Technologies/DOTS-training-samples,114
177,GlitchEnzo/NuGetForUnity,0
178,kmbang/UnityNativeEdit,6
179,googleanalytics/google-analytics-plugin-for-unity,0
180,keijiro/Reaktion,2
181,keijiro/SonarFx,1
182,MattRix/Futile,14
183,mmd-for-unity-proj/mmd-for-unity,0
184,DMeville/Unity3d-Dungeon-Generator,2
185,jpush/jpush-unity3d-plugin,2
186,snowballdigital/flutter-unity-view-widget,3
187,kaistseo/UnitySocketIO-WebSocketSharp,0
188,TouchScript/TouchScript,27
189,LiuFeng1011/UnityNetWork,0
190,keijiro/unity-dither4444,0
191,dbrizov/NaughtyWaterBuoyancy,0
192,YousicianGit/UnityMenuSystem,1
193,dave-hillier/disruptor-unity3d,0
194,keijiro/KvantGrass,0
195,roboryantron/UnityEditorJunkie,0
196,GTA-ASM/SanAndreasUnity,54
197,Elringus/UnityGoogleDrive,0
198,UnityCommunity/UnitySingleton,0
199,kwnetzwelt/unity3d-dissolve-shader,0
200,kwnetzwelt/unity3d-dissolve-shader,0
201,keijiro/Pix2Pix,3
202,unity3d-jp/UnityChanSpringBone,0
203,spatialos/gdk-for-unity,11
204,EllanJiang/GameFramework,0
205,qinyuanpei/Excel2Unity,0
206,Wenzil/UnityConsole,14
207,Phong13/BulletSharpUnity3d,65
208,noodle1983/UnityAndroidIl2cppPatchDemo,0
209,NetEase/pomelo-unityclient-socket,0
210,imkira/unity-sysfont,0
211,ArthurBrussee/Vapor,0
212,pixelnest/tutorial-2d-game-unity,4
213,aliessmael/Unity-Logs-Viewer,22
214,keijiro/Voxelman,0
215,EcsRx/ecsrx.unity,18
216,CiaccoDavide/Unity-UI-Polygon,0
217,fpanettieri/unity-socket.io-DEPRECATED,0
218,unitycoder/UnityLauncher,0
219,ricardojmendez/LibNoise.Unity,0
220,dcariola/XCodeEditor-for-Unity,0
221,huika/UMA,13
222,SebLague/Path-Creator,0
223,Unity-Technologies/arfoundation-samples,12
224,keijiro/KinoFog,0
225,dzonatan/Unity3D-LogCat-extension,0
226,sploreg/goap,0
227,aceyan/UnityEffects,0
228,soomla/unity3d-levelup,16
229,dgkanatsios/AngryBirdsStyleGame,13
230,Cysharp/MagicOnion,0
231,Dandarawy/Unity3D-Globe,59
232,neuecc/ZeroFormatter,0
233,Unity-Technologies/Standard-Assets-Characters,3
234,UnityTech/ConnectAppCN,33
235,Nition/UnitySkidmarks,6
236,Chaser324/unity-build,0
237,gabstv/Farseer-Unity3D,8
238,thomasfredericks/UnityOSC,0
239,tinkerer/UnityWrapper,0
240,Unity-Technologies/vscode-unity-debug,0
241,JefferiesTube/UnityEditorHelper,0
242,WiggleWizard/quake3-movement-unity3d,8
243,Mukarillo/UnityTetris,5
244,Busta117/SQLiteUnityKit,0
245,allanpichardo/Unity-Beat-Detection,0
246,Unity-Technologies/2d-techdemos,5
247,mofr/Diablerie,33
248,Reinisch/Darkest-Dungeon-Unity,76
249,xraxra/IMP,0
250,windowsgamessamples/UnityPorting,7
251,GabLeRoux/unity3d-ci-example,3
252,Siccity/xNode,0
