,repo_name,method_invocations
0,Betorped0/friendsmash-unity,0
1,ruNNiNg-V0V/UnityDemo,0
2,FrancescoMancarelli/SpaceSHMUP,0
3,boydieboi/AdColony-Unity-SDK,0
4,JollyCompany/UnityKickstart,18
5,grantclarke-abertay/mario_starter,2
6,TheGerMCAST/UnityWorksheet3,2
7,K55Cris/Unity,6
8,crt17GitLessonClass/UnityGitTest1,8
9,wupojung/UnityTutorial_ScanObjectDemo,0
10,IndieGameMaker/UnityBookSource,58
11,Grzybojad/Warsztaty-Unity,6
12,robertg89/Arduino-Unity3D-Serial-Connection,0
13,JoinCODED/Unity1-HackThePlanet-Demo,2
14,chuwilliamson/Unity-CrossPlatformDevelopment,61
15,KID421/Unity_Class_ASIA_2DGame_Afternoon,31
16,galalmounir/UnityMultiplayerSample,0
17,efranford/GA-Unity-SDK,1
18,patcat/GoogleCardboardUnitySDKDemo,18
19,imclab/VoforiaWithOpenCVForUnitySample,0
20,mizoe/NCMB_Shooting_Tutorial,2
21,imclab/VR-Planetarium,76
22,KID421/Unity_HC_TC_2DGame,10
23,galalmounir/unityUdpClientSolution,0
24,NeuroScouting/UnityExercise,2
25,bigpaolee/Minijson_unity3d_test,0
26,TiborUdvari/ecal-unity-preparation-week-2018,49
27,bennybroseph/Old-Unity-Prototyping,2
28,andrewang/LearnUnity,4
29,KID421/Unity_HC_ZL_2D_Game,10
30,SKHS-GDP-Master/PlaygroundProjectStarter,15
31,KID421/Unity_HC_TC_KIDLegend,7
32,RishabhL/Unity,116
33,KID421/Unity_TUMT_AI_2D,5
34,HolyMonkey/Snake-3D-Unity,2
35,dat16/yoketoru-unity-2016,6
36,danivdwerf/Arduino-Unity_tut,0
37,Nidick/UnityColorPicker,0
38,mitjmcc/Seasick,21
39,KID421/Unity_TUMT_MotionCapture,13
40,bitrise-io/sample-apps-unity3d,0
41,NielsGregers/cp-helsingor-unity,0
42,CadoganPL/VertexUnityTutorial,2
43,corum/Facepunch.Steamworks.Unity,0
44,aiv01/FirstVersionedProject,0
45,Houchan/unityTest,0
46,opotchtli/UnityThings,0
47,treasure-data/td-unity-sdk-package,1
48,Wizcorp/unitydemo-SpaceShooter,4
49,isaevyaroslav/Labyrinth-Unity,0
50,Budatron/unity-ads-demo,0
51,childebao/OpenCog-Unity3D-Game,23
52,kleopatra999/unity-credentials,0
53,zplayads/ZPLAYAds-unity,0
54,gdeioannes/VR_DOMES,35
55,HolyMonkey/SHK-Unity,4
56,halzate93/git-unity-demo,2
57,hagabooga/UnityPortFate,43
58,shlapkoff/unity3d-iap-script,0
59,bolabola/FaceDetect,0
60,HolyMonkey/Thousand-Devils-Unity,3
61,IgorPetrov7676/TPS-Proto-Unity,32
62,chuwilliamson/Unity-Networking,18
63,jamiewestfall/swamphacks2018,0
64,dotBunny/MonoDevelop.Unity,0
65,Sly1029/Project_VRoom,100
66,gundermanc/eecs290-unity3d-final,52
67,pubnub/unityscript,0
68,ITI415-Su18/SU18-Roll-a-ball,2
69,AhriHaran/Unity,143
70,scottsandersdev/unity,3
71,vitei/Unity,0
72,mockupThesis/unity,30
73,burzumumbra/UnityUNI,15
74,aytona/DonkeyKong,11
75,TrentSterling/VLS2D,0
76,NapakorN/UnityProject,4
77,yuechuzhao/UnitySlots,60
78,downkhg/UnityTest,34
79,2016UnityProject/UnityProject,35
80,tstieven/unitySombrero,9
81,chris-chris/unity-core-server-complete,0
82,mightypanda/Unity-Fast-Bloom,0
83,imclab/Unity-RuntimeAtlas,0
84,sato0203/Unity-AndroidPermission,0
85,sfalexrog/unity_repo_demo,2
86,zplayads/PlayableAdsDemo-Unity,0
87,AMiller90/OperationVega,85
88,NIFCLOUD-mbaas/UnityScriptApp,6
89,Bakiet/UnityZombieCross,117
90,tateconlon/UnityPacMan,4
91,s26mehta/UnityBallGamewithVR,74
92,GeekPartyTeam/GP_UnityTemplate,2
93,mlasky/UnityTestFramework,0
94,vyquocvu/unity3d-mobagame,60
95,tansaku/Unity3DAI,0
96,lucasthebear/CarUnity,4
97,pszpiczakowski/Unity-Touch,0
98,octopusengine/unity-HTCvive,68
99,redkarchetan/sdk-unity,0
100,justvanbloom/WargamingAR,0
101,OlafZwe/UnityWindowsFileDragDrop,0
102,syjsu/Unity3D-File-Updater,0
103,qnddjKJH/Unity-Game-Programming,17
104,ZioCecio/Goalkeeper,63
105,ucsb-cs48-w19/5pm-pet-life,17
106,SagarB-97/InfinityRunner-Unity,51
107,faztp12/unity-car-game,22
108,luunn54/interactive-storybook-unity,0
109,yumimobi/YumiAdSDK-Unity,0
110,TrentButler/Unity-ProductionTeams,13
111,AltspaceVR/altspacevr-project-unity-testing,5
112,dijkstrap/eadventureUnityTool,7
113,SMillard/spriterdapi-unity-ngui,0
114,icaromagalhaes/unity3d-kinect-v2-ui,0
115,legodps/Unityprojectlol,4
116,Roartal/Unity3d_Login_Example_Project,0
117,AdrianEdy/unitytes,0
118,joaokucera/unity-infinite-runner-2d,2
119,DARKETERNAL/git-unity-demo-54,2
120,Browneyedhusky/AndroidUnityExamples,38
121,jeremybarzas/Unity-Mythos,44
122,RemiRigal/Unity-Vibes,7
123,Tyderion/snake-unity,20
124,unimonte-games/unity-snake,64
125,kphed/MegamanUnity,2
126,halzate93/unity-rest,3
127,zhangzhibin/grpc-unity,0
128,hanbim520/unity-UIScrollview,0
129,carldunham/unity-swimming,7
130,heimaomao/SlotUnity,0
131,sindharta/unity-shaders,14
132,cyecp/GF.Unity,0
133,Svrf/svrf-unity,5
134,xando/unity-ball,0
135,psyoblade/hello-unity,1
136,namanrajpal/My-Experiments-with-Unity-Terrains-1,38
137,benc0ck/KLEMEN-JURE,6
138,Laantje/UnityGame,31
139,reneschulte/UnityPlayground,0
140,RichardBangs/UnityVoxel,0
141,dafei2015/UnityScripts,0
142,DavidSheh/UnitySocket,0
143,CoderDojo-Ennis/UnityDefender,0
144,AdamWu/UnitySDK,67
145,sakmor/unityFantasy,20
146,RVerhoef/UnityRPG,11
147,coding2233/Unity2048,8
148,dc820/UnityTerrain,35
149,alexsofar/UnityCommander,0
150,cumtping/Unity2048,5
151,Jyngwe/UnityLek,37
152,peiluliu/unityTD,23
153,dkolath/UnityProse,0
154,cyanius/UnityProject,11
155,Kozjar/UnityProj,61
156,sabrinagreenlee/JaneBound,83
157,fathonyfath/party-crasher,0
158,phillima/DM117,53
159,outscal/battle-tank-game,0
160,IngSonidoUSB/Proyecto-Integrador,24
161,bebee/FBXImporterExporter4Unity,3
162,NicholasArnaud/Unity-ProductionTeams,13
163,claywilkinson/AutoSaveUnitySample,0
164,OkeyProject/OkeyUnityForAI,0
165,humbertodias/unity-solar-system,17
166,vquanghuy/training-unity-survival-shooter,16
167,Kenji-K/Unity-Puzzle-Game,12
168,Matthijsdi/TeamOppertUnity,32
169,bonber/unity-spaceship-shooter,3
170,JulianoCristian/com.unity.timeline-tools,0
